N = 100000
regressing against normal vector

epoch 	 Training Loss 	 Test Loss 	 Mean pos error train 	 Mean Pos Error Test
105 	 0.0071 	  0.0093 	 0.0297 	 0.0326
106 	 0.0071 	  0.0088 	 0.0298 	 0.0300
107 	 0.0070 	  0.0089 	 0.0297 	 0.0293
108 	 0.0070 	  0.0087 	 0.0296 	 0.0316
109 	 0.0071 	  0.0088 	 0.0296 	 0.0301
110 	 0.0070 	  0.0088 	 0.0296 	 0.0287
111 	 0.0070 	  0.0089 	 0.0299 	 0.0298
112 	 0.0071 	  0.0085 	 0.0297 	 0.0317
113 	 0.0071 	  0.0089 	 0.0300 	 0.0301
114 	 0.0071 	  0.0084 	 0.0297 	 0.0289
115 	 0.0071 	  0.0085 	 0.0296 	 0.0277
116 	 0.0070 	  0.0087 	 0.0296 	 0.0278
117 	 0.0071 	  0.0092 	 0.0299 	 0.0331
118 	 0.0070 	  0.0084 	 0.0297 	 0.0316
119 	 0.0070 	  0.0087 	 0.0298 	 0.0340
120 	 0.0069 	  0.0085 	 0.0299 	 0.0302
121 	 0.0071 	  0.0088 	 0.0300 	 0.0292
122 	 0.0070 	  0.0086 	 0.0299 	 0.0326
123 	 0.0070 	  0.0091 	 0.0298 	 0.0284
124 	 0.0069 	  0.0085 	 0.0298 	 0.0311
125 	 0.0070 	  0.0088 	 0.0300 	 0.0315
126 	 0.0071 	  0.0089 	 0.0299 	 0.0304
127 	 0.0070 	  0.0091 	 0.0301 	 0.0292
128 	 0.0070 	  0.0086 	 0.0297 	 0.0308
129 	 0.0070 	  0.0090 	 0.0299 	 0.0339
130 	 0.0069 	  0.0089 	 0.0298 	 0.0289
131 	 0.0070 	  0.0091 	 0.0299 	 0.0339
132 	 0.0070 	  0.0086 	 0.0302 	 0.0294
133 	 0.0070 	  0.0086 	 0.0298 	 0.0286
134 	 0.0070 	  0.0089 	 0.0298 	 0.0288
135 	 0.0069 	  0.0088 	 0.0300 	 0.0327
136 	 0.0070 	  0.0085 	 0.0301 	 0.0296
137 	 0.0070 	  0.0087 	 0.0299 	 0.0274
138 	 0.0069 	  0.0090 	 0.0299 	 0.0312
139 	 0.0069 	  0.0091 	 0.0299 	 0.0315
140 	 0.0070 	  0.0089 	 0.0298 	 0.0305
141 	 0.0070 	  0.0089 	 0.0302 	 0.0318
142 	 0.0070 	  0.0092 	 0.0301 	 0.0290
143 	 0.0070 	  0.0090 	 0.0298 	 0.0312
144 	 0.0070 	  0.0090 	 0.0300 	 0.0293
145 	 0.0070 	  0.0088 	 0.0300 	 0.0286
146 	 0.0069 	  0.0087 	 0.0299 	 0.0293
147 	 0.0069 	  0.0087 	 0.0299 	 0.0299
